mac;name
51:35:F7:00:00:00 ;Group address (multicast MAC address)
49:75:03:00:00:00 ;Group address (multicast MAC address)
6A:E9:FD:00:00:00 ;Locally administered MAC address
4C:05:A9:00:00:00 ;
CA:00:9A:00:00:00 ;Locally administered MAC address
EE:6D:F8:00:00:00 ;Locally administered MAC address
1B:B1:23:00:00:00 ;Group address (multicast MAC address)
74:C2:88:00:00:00 ;
6A:E2:C4:00:00:00 ;Locally administered MAC address
7C:81:CD:00:00:00 ;
F4:09:BE:00:00:00 ;
4E:7A:85:00:00:00 ;Locally administered MAC address
7A:4C:05:00:00:00 ;Locally administered MAC address
E4:AA:5D:00:00:00 ;Cisco Systems, Inc 
46:61:AC:00:00:00 ;Locally administered MAC address
14:91:82:00:00:00 ;Belkin International Inc. 
62:F4:F3:00:00:00 ;Locally administered MAC address
00:1C:7F:00:00:00 ;Check Point Software Technologies 
A6:97:61:00:00:00 ;Locally administered MAC address
D0:53:EA:00:00:00 ;
04:F5:E7:00:00:00 ;
08:11:D3:00:00:00 ;
34:36:3B:00:00:00 ;Apple, Inc. 
9A:CE:8D:00:00:00 ;Locally administered MAC address
AC:1F:09:00:00:00 ;shenzhen RAKwireless technology Co.,Ltd 
3A:5E:87:00:00:00 ;Locally administered MAC address
4E:BE:A2:00:00:00 ;Locally administered MAC address
CB:5C:DE:00:00:00 ;Group address (multicast MAC address)
5A:A0:CE:00:00:00 ;Locally administered MAC address
46:70:D1:00:00:00 ;Locally administered MAC address
C6:11:18:00:00:00 ;Locally administered MAC address
00:25:00:00:00:00 ;Apple, Inc. 
52:AA:A9:00:00:00 ;Locally administered MAC address
E2:AC:A2:00:00:00 ;Locally administered MAC address
82:1E:DA:00:00:00 ;Locally administered MAC address
78:BC:1A:00:00:00 ;Cisco Systems, Inc 
42:83:48:00:00:00 ;Locally administered MAC address
3E:0F:29:00:00:00 ;Locally administered MAC address
86:5F:7B:00:00:00 ;Locally administered MAC address
00:28:F8:00:00:00 ;Intel Corporate 
6F:2F:98:00:00:00 ;Group address (multicast MAC address)
56:8D:FA:00:00:00 ;Locally administered MAC address
65:72:A1:00:00:00 ;Group address (multicast MAC address)
62:EB:4A:00:00:00 ;Locally administered MAC address
40:F2:8B:00:00:00 ;
8E:43:10:00:00:00 ;Locally administered MAC address
3C:F0:11:00:00:00 ;Intel Corporate 
5A:CE:38:00:00:00 ;Locally administered MAC address
02:09:B1:00:00:00 ;Locally administered MAC address
66:A4:A4:00:00:00 ;Locally administered MAC address
60:A6:F4:00:00:00 ;
FC:5B:39:00:00:00 ;Cisco Systems, Inc 
54:88:0E:00:00:00 ;SAMSUNG ELECTRO-MECHANICS(THAILAND) 
9C:3E:53:00:00:00 ;Apple, Inc. 
80:E0:1D:00:00:00 ;Cisco Systems, Inc 
4D:75:56:00:00:00 ;Group address (multicast MAC address)
C4:35:D9:00:00:00 ;Apple, Inc. 
14:7D:DA:00:00:00 ;Apple, Inc. 
02:FB:84:00:00:00 ;Locally administered MAC address
26:DD:E2:00:00:00 ;Locally administered MAC address
03:2B:B9:00:00:00 ;Group address (multicast MAC address)
92:65:C1:00:00:00 ;Locally administered MAC address
FF:FA:1F:00:00:00 ;Group address (multicast MAC address)
F1:FD:71:00:00:00 ;Group address (multicast MAC address)
17:8F:AA:00:00:00 ;Group address (multicast MAC address)
6A:78:C1:00:00:00 ;Locally administered MAC address
64:26:02:00:00:00 ;
4D:8A:6E:00:00:00 ;Group address (multicast MAC address)
C4:39:64:00:00:00 ;
5E:3E:0D:00:00:00 ;Locally administered MAC address
CF:0E:12:00:00:00 ;Group address (multicast MAC address)
73:2E:B4:00:00:00 ;Group address (multicast MAC address)
C8:EF:7E:00:00:00 ;
7C:CA:00:00:00:00 ;
D3:D6:97:00:00:00 ;Group address (multicast MAC address)
4A:75:96:00:00:00 ;Locally administered MAC address
2B:57:FF:00:00:00 ;Group address (multicast MAC address)
FD:70:A7:00:00:00 ;Group address (multicast MAC address)
5A:32:EC:00:00:00 ;Locally administered MAC address
17:2D:A9:00:00:00 ;Group address (multicast MAC address)
63:7A:67:00:00:00 ;Group address (multicast MAC address)
44:1D:48:00:00:00 ;
C6:2C:E2:00:00:00 ;Locally administered MAC address
54:03:84:00:00:00 ;Hongkong Nano IC Technologies Co., Ltd 
25:DB:FB:00:00:00 ;Group address (multicast MAC address)
C4:DD:31:00:00:00 ;
01:90:7E:00:00:00 ;Group address (multicast MAC address)
06:F1:F0:00:00:00 ;Locally administered MAC address
57:DD:FA:00:00:00 ;Group address (multicast MAC address)
1F:E9:7E:00:00:00 ;Group address (multicast MAC address)
47:D8:7C:00:00:00 ;Group address (multicast MAC address)
D8:63:1D:00:00:00 ;
51:DA:53:00:00:00 ;Group address (multicast MAC address)
72:28:C0:00:00:00 ;Locally administered MAC address
34:91:E1:00:00:00 ;
57:56:E0:00:00:00 ;Group address (multicast MAC address)
65:56:CD:00:00:00 ;Group address (multicast MAC address)
F9:5E:09:00:00:00 ;Group address (multicast MAC address)
4E:C3:A4:00:00:00 ;Locally administered MAC address
F1:E0:C6:00:00:00 ;Group address (multicast MAC address)
26:92:D6:00:00:00 ;Locally administered MAC address
F9:F9:38:00:00:00 ;Group address (multicast MAC address)
F1:34:39:00:00:00 ;Group address (multicast MAC address)
FA:88:36:00:00:00 ;Locally administered MAC address
20:0F:86:00:00:00 ;
D2:41:00:00:00:00 ;Locally administered MAC address
C4:AA:02:00:00:00 ;
4B:E5:5A:00:00:00 ;Group address (multicast MAC address)
42:22:FE:00:00:00 ;Locally administered MAC address
EA:1B:D6:00:00:00 ;Locally administered MAC address
6F:B6:FA:00:00:00 ;Group address (multicast MAC address)
